account_length,international_plan,voice_mail_plan,number_vmail_messages,customer_service_calls,churn,total_charge,total_minutes,total_calls
128,0,1,25,1,False,75.56,717.2,303
107,0,1,26,1,False,59.24000000000001,625.2,332
137,0,0,0,0,False,62.290000000000006,539.4000000000001,333
84,1,0,0,2,False,66.8,564.8,255
75,1,0,0,3,False,52.089999999999996,512.0,359
118,1,0,0,0,False,67.61,654.1999999999999,323
121,0,1,24,3,False,78.31,786.8000000000001,321
147,1,0,0,0,False,46.900000000000006,479.00000000000006,275
117,0,0,0,1,False,73.32,760.6000000000001,271
141,1,1,37,0,False,80.53999999999999,818.2,297
65,0,0,0,4,True,54.2,579.1000000000001,337
74,0,0,0,0,False,57.08,556.2,374
168,0,0,0,1,False,40.190000000000005,386.0,297
95,0,0,0,3,False,59.64,608.8,283
62,0,0,0,4,False,59.309999999999995,644.0,251
161,0,0,0,4,True,92.29,816.7,301
85,0,1,27,1,False,65.02,580.3999999999999,308
93,0,0,0,3,False,58.989999999999995,546.6,349
76,0,1,33,1,False,60.50000000000001,578.2,244
73,0,0,0,1,False,63.9,589.7,254
147,0,0,0,0,False,59.0,614.1999999999999,347
77,0,0,0,5,True,36.019999999999996,447.59999999999997,280
130,0,0,0,0,False,48.06,447.20000000000005,308
111,0,0,0,2,False,41.05,445.0,316
132,0,0,0,0,False,48.08,573.5999999999999,275
174,0,0,0,3,False,60.15,667.6,308
57,0,1,39,0,False,63.24,596.3,345
54,0,0,0,3,False,44.61,406.59999999999997,245
20,0,0,0,0,False,64.12,636.0,301
49,0,0,0,1,False,49.6,524.1999999999999,317
142,0,0,0,2,False,41.14,486.2,312
75,0,0,0,1,False,69.42999999999999,684.0999999999999,315
172,0,0,0,3,False,55.29,549.1,324
12,0,0,0,1,True,79.67999999999999,794.0,330
57,0,1,25,0,False,58.49,593.5999999999999,289
72,0,1,37,3,False,66.72,604.8000000000001,259
36,0,1,30,0,False,48.42,452.6,323
78,0,0,0,1,False,54.2,592.3,293
136,1,1,33,3,False,58.03,503.7,318
149,0,0,0,1,False,58.44,611.6,303
98,0,0,0,3,False,46.63999999999999,490.3,324
135,1,1,41,0,True,56.199999999999996,513.8,285
34,0,0,0,2,False,61.92999999999999,728.5,262
160,0,0,0,3,False,39.15,438.8,283
64,0,0,0,1,False,58.260000000000005,648.6,274
59,0,1,28,2,False,48.3,505.5,310
65,0,0,0,3,False,59.36000000000001,521.8,365
142,0,0,0,2,False,56.129999999999995,571.1999999999999,339
119,0,0,0,5,True,55.53,542.3999999999999,325
97,0,1,24,1,False,47.25,432.0,275
52,0,0,0,3,False,68.32,706.3,296
60,0,0,0,1,False,68.49000000000001,687.5,304
10,0,0,0,2,False,63.620000000000005,670.4999999999999,241
96,0,0,0,2,False,62.76,665.5,257
87,0,0,0,5,True,56.14,584.3000000000001,329
81,0,0,0,1,False,65.94,705.2,253
141,0,0,0,1,False,45.370000000000005,455.7,290
121,0,1,30,3,True,49.849999999999994,460.7,286
68,0,0,0,3,False,55.36000000000001,537.2,340
125,0,0,0,1,False,65.82,608.0,332
174,0,0,0,1,False,57.67999999999999,540.0,249
116,0,1,34,2,False,71.41999999999999,624.7,334
74,0,1,33,2,False,64.0,592.4,282
149,0,1,28,3,False,62.029999999999994,646.6,212
38,0,0,0,2,False,45.51,461.3,307
40,0,1,41,2,False,50.89000000000001,537.9000000000001,269
43,1,0,0,0,False,70.46,631.4,280
113,1,0,0,0,False,46.88,469.20000000000005,359
126,0,0,0,1,False,63.42999999999999,589.8,211
150,0,0,0,4,True,55.199999999999996,510.40000000000003,314
138,0,0,0,3,False,72.08,719.4,287
162,0,1,46,0,False,68.96,679.8000000000001,244
147,0,0,0,3,False,64.84,578.0,281
90,0,0,0,1,False,62.67999999999999,589.8,372
85,0,0,0,0,False,65.16,593.2,305
50,0,0,0,1,False,55.49999999999999,567.9,275
82,0,0,0,0,True,81.75,763.1000000000001,286
144,0,0,0,4,True,27.02,319.9,308
46,0,0,0,2,False,60.57,564.2,292
70,0,0,0,1,False,56.459999999999994,569.0,278
144,0,0,0,1,False,73.63,741.8000000000001,294
116,1,0,0,3,False,69.96000000000001,711.3000000000001,297
55,0,1,25,3,False,50.599999999999994,488.4,310
70,0,1,24,1,False,77.16000000000001,741.6999999999999,271
106,0,0,0,2,True,68.94,663.5999999999999,270
128,0,1,29,0,False,66.53999999999999,736.8000000000001,275
94,0,0,0,4,True,50.709999999999994,510.5,295
111,0,0,0,1,False,65.6,617.2,294
74,0,1,35,2,False,48.72,490.5,254
128,0,0,0,1,True,74.64,708.3,290
82,0,0,0,1,False,48.96,459.5,262
155,0,0,0,0,True,62.03,599.1999999999999,327
80,0,0,0,1,False,49.36000000000001,558.4,278
78,0,0,0,3,False,72.6,704.7,317
90,0,0,0,3,False,55.26,508.0,250
104,0,0,0,1,False,64.21000000000001,532.3999999999999,361
73,0,0,0,0,False,56.68999999999999,560.5,258
99,0,0,0,4,False,62.25000000000001,605.1,279
120,0,0,0,1,True,62.809999999999995,594.0,336
77,0,0,0,2,True,75.32000000000001,742.5,314
98,0,1,21,4,False,57.24,577.9999999999999,297
108,0,0,0,0,False,56.129999999999995,511.0,320
